location_name,lat,lng
ABBERONE,34.08555339,-83.94556405
ALCOVY RIVER,33.97832391,-83.94024798
AVINGTON GLEN,33.92638968,-83.94318474
BAILEY ROAD,34.0133865,-83.8794551
BROOKS FARM,33.85007864,-84.06698978
GROVE PLACE,33.85525132,-84.14994517
HUNTCREST,34.01125161,-84.07089724
JACOBS FARM,33.96456617,-83.93992306
ROUND ROAD,33.91805789,-83.94578874
BROOKS ROAD,33.94428881,-83.91803664
FOUNTAIN GLEN,34.01166525,-83.94375834
HARBINS LANDING,33.96448133,-83.8640293
OLD ARCADO,33.86899444,-84.13528553
OLD ARCADO,33.86899444,-84.13528553
OLD ARCADO,33.86899444,-84.13528553
PARKER WOODS 2,33.82359575,-84.10416953
ROSS ROAD,33.82938696,-84.07845839
THE COLUMNS,33.83799999,-84.08007625
WINDSOR CREEK,33.89050318,-83.97327551
NORRIS LAKE,33.77178582,-84.04271984
CHATTAHOOCHEE STATION,33.97280366,-84.26148014
LAWRENCEVILLE-SUWANEE ESTATES,34.01195474,-84.0424918
LAWRENCEVILLE-SUWANEE ESTATES,34.01195474,-84.0424918
CHESTNUT LAKE,33.87047285,-84.14202214
LANDINGS AT BAY CREEK,33.87177103,-83.87608695
COLLINS HILL HEIGHTS,33.98692238,-83.99960931
HAMPTON RIDGE,33.83641465,-83.99861894
PRINCETON OAKS,34.12613888,-84.05404504
EVERGREEN LAKES,33.83800342,-84.11856456
NORTHBROOK 1,34.01180631,-84.06439535
OLD ATHENS,33.97258875,-83.94700074
