Predicted_WO_Priority,assetcriticality,Labor Hours,Labor Cost,Material Cost,Work Order Cost,assettype_order,WOType_Order,location_order,WO Status_order,WO Priority
3.0,0.0,1.25,63.86,0.0,63.86,109.0,3.0,4.0,3.0,2.0
1.0,5.0,4.25,217.13,0.0,217.13,42.0,3.0,22.0,3.0,1.0
1.0,0.0,2.41666666666667,123.47,0.0,123.47,109.0,3.0,14.0,3.0,2.0
1.0,5.0,2.0,68.12,0.0,68.12,44.0,4.0,56.0,3.0,1.0
1.0,0.0,9.33333333333333,476.84,0.0,476.84,109.0,3.0,66.0,3.0,2.0
2.0,5.0,2.58333333333333,87.99,0.0,87.99,30.0,15.0,131.0,3.0,1.0
0.0,0.0,0.916666666666667,46.83,0.0,46.83,22.0,3.0,6.0,3.0,2.0
4.0,5.0,0.0,0.0,0.0,0.0,30.0,8.0,149.0,3.0,3.0
0.0,5.0,0.75,25.55,0.0,25.55,12.0,5.0,229.0,3.0,2.0
1.0,5.0,5.5,246.94,0.0,246.94,38.0,3.0,62.0,3.0,2.0
4.0,5.0,0.0,0.0,0.0,0.0,30.0,8.0,117.0,3.0,3.0
0.0,5.0,0.0,0.0,0.0,0.0,12.0,4.0,140.0,3.0,4.0
0.0,0.0,1.0,34.06,0.0,34.06,12.0,3.0,127.0,3.0,1.0
0.0,0.0,1.08333333333333,55.35,0.0,55.35,109.0,3.0,213.0,3.0,2.0
1.0,0.0,2.0,102.18,0.0,102.18,22.0,3.0,222.0,3.0,2.0
1.0,0.0,4.58333333333333,234.16,0.0,234.16,28.0,3.0,249.0,3.0,1.0
4.0,5.0,0.0,0.0,0.0,0.0,12.0,8.0,259.0,3.0,3.0
1.0,0.0,2.41666666666667,123.47,0.0,123.47,109.0,3.0,196.0,3.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,127.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,127.0,2.0,2.0
0.0,4.0,0.0,0.0,0.0,0.0,19.0,0.0,82.0,13.0,3.0
4.0,5.0,0.0,0.0,0.0,0.0,12.0,8.0,42.0,9.0,3.0
4.0,5.0,0.0,0.0,0.0,0.0,12.0,11.0,84.0,9.0,3.0
4.0,5.0,0.0,0.0,0.0,0.0,12.0,11.0,105.0,9.0,3.0
5.0,4.0,0.0,0.0,0.0,0.0,30.0,8.0,18.0,9.0,3.0
4.0,5.0,0.0,0.0,0.0,0.0,12.0,11.0,137.0,9.0,3.0
4.0,5.0,0.0,0.0,0.0,0.0,12.0,11.0,17.0,9.0,3.0
4.0,5.0,0.0,0.0,0.0,0.0,12.0,12.0,111.0,6.0,5.0
0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,199.0,11.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,204.0,11.0,3.0
